RYR,Ryanair
BAW,British Airways
SHT,British Airways
EZY,EasyJet
EXS,Jet2
KLM,KLM
TFL,TUI
TOM,TUI
AFR,Air France
VIR,Virgin Atlantic
AAL,American Airlines
UAL,United Airlines
DAL,Delta Airlines
NPT,Atlantic Airlines
TAM,LATAM Brasil
WGN,Western Global
SWN,West Air Sweden
THY,Turkish Airlines
QTR,Qatar Airways
IBE,Iberia
VLG,Vueling Airlines
EIN,Aer Lingus
WUK,Wizz Air
TAP,TAP Air Portugal
FDX,FedEx
UPS,UPS
LH,Lufthansa
DLH,Lufthansa
GEC,Lufthansa Cargo
CKS,Kalitta Air
ETP,Empire Test Pilots
CLF,Bristol Flying Centre
MLT,Maleth Aero
AMBER,Cobham
UKP,Police
HLE,Air Ambulance
CG,Coastguard
RRR,Royal Air Force
ASCOT,Royal Air Force
COMET,Royal Air Force
SNAKE,Royal Air Force
SRPNT,Royal Air Force
TYPHOO,Royal Air Force
ANARCHY,Royal Air Force
NOH,RAF Northolt 32 Sqdn
AAC,Army Air Corps
SHF,Joint Helicopter Command
SPEAR,UK Armed Forces
VGBND,UK Armed Forces
RECON,UK Armed Forces
CMNDO,UK Armed Forces
VALNT,UK Armed Forces
VALINT,UK Armed Forces
RADCL,UK Armed Forces
PNTHR,UK Armed Forces
TALON,UK Armed Forces
CARBON,UK Armed Forces
VICTR,Royal Navy
VENDETA,Army Air Corps
MARINE,Royal Marines
BWY,736 Naval Air Sqdn
RCH,U.S. Air Mobility Command
GSPRK,Fireflies Display Team